     Conf.      atom         Ref. Fx(Ha/Bohr)         Ref. Fy(Ha/Bohr)         Ref. Fz(Ha/Bohr)           NN Fx(Ha/Bohr)           NN Fy(Ha/Bohr)           NN Fz(Ha/Bohr)
         2        40              -0.00334200              -0.01042600              -0.02048300              -0.00811721              -0.00635292               0.00715237
         2        41               0.01413500               0.02039000               0.00566500               0.00668786               0.01269157               0.00135528
         2        42              -0.00974200              -0.00667800               0.01789800              -0.00185030              -0.00433042              -0.00798533
         2        43              -0.01305500               0.03763700              -0.00273800               0.00507027               0.02127361              -0.00404588
         2        44               0.00637900              -0.00656900              -0.00560400              -0.00065699               0.00004449              -0.00166332
         2        45               0.00351200              -0.03199800               0.00919800               0.00024310              -0.02011850              -0.00164408
         2        46              -0.01809800              -0.01934900               0.00442000              -0.00961807              -0.00222327               0.00325200
         2        47               0.01258100               0.00787300              -0.00634900               0.01364144               0.00008592              -0.00323803
         2        48               0.00566800               0.00622500               0.00276000              -0.00401999              -0.00283613               0.00026588
         2        49              -0.02864600              -0.01111100               0.01392100               0.00466589              -0.00499525               0.00116179
         2        50               0.01104400              -0.00043000              -0.00972900               0.00484584              -0.00159216              -0.00164499
         2        51               0.01648300               0.00354600               0.00150700              -0.00129557              -0.00197261              -0.00016699
         2        52               0.02545000              -0.00057200              -0.00553500               0.01145650               0.01473153               0.00128903
         2        53               0.01160400              -0.00302300               0.00704800               0.00799856              -0.00961537              -0.00105691
         2        54              -0.03332700               0.00368000              -0.00165900              -0.01679593              -0.00498625              -0.00252407
         2        55               0.01212100              -0.00562000              -0.03303800               0.00022922               0.00913281              -0.01162821
         2        56              -0.00343100              -0.00825200               0.02151900              -0.00331829              -0.00565231               0.01538064
         2        57              -0.00914200               0.01433500               0.01380200              -0.00161481               0.00407744              -0.00032849
         2        58              -0.01804700               0.01276800              -0.00396700              -0.00221926               0.00331951              -0.00670597
         2        59               0.00834100              -0.00677000              -0.00004900              -0.00158821              -0.00121042               0.00061321
         2        60               0.00889200              -0.00774800              -0.00634500               0.00476618              -0.00029265              -0.00160355
         2        61               0.02610900              -0.02414800              -0.02362000               0.01189580              -0.01121412              -0.01427521
         2        62              -0.03289100               0.02365000               0.02256100              -0.01554504               0.00990968               0.00957420
         2        63               0.00244200              -0.00232500               0.00205500               0.00209320              -0.00225790               0.00296474
         2        64               0.01970100               0.01857100              -0.00110800              -0.00166140              -0.01099234              -0.00572273
         2        65              -0.02486000              -0.00438200               0.01755000               0.00143115               0.00641773               0.00352087
         2        66               0.00918100              -0.00215600              -0.01578400              -0.01043533               0.00077569              -0.00334562
         2        67               0.00419200              -0.00549400               0.02567700               0.00500212               0.00453541               0.00857727
         2        68              -0.00088200               0.00348800              -0.01464600              -0.00081325               0.00557326              -0.00165382
         2        69              -0.00672100              -0.00354300              -0.01033700              -0.00658638              -0.00987276              -0.00676321
         2        70              -0.00980200               0.02872700               0.05246300              -0.01579419               0.01147238               0.01704691
         2        71              -0.01370400              -0.01562500              -0.04047700               0.00154669              -0.01316655              -0.02097331
